162 ms ; init
17349100 ms ; Button pressed (no action triggered)
17352308 ms ; Button pressed (no action triggered)
17353376 ms ; Button pressed (no action triggered)
17353751 ms ; Button pressed (no action triggered)
17354064 ms ; Button pressed (no action triggered)
18000179 ms ; 5 hours have passed
19732905 ms ; Button pressed - Motor activated
19734651 ms ; Button pressed (while motor running)
19737035 ms ; Motor stopped - Micro switch triggered
19750890 ms ; Button pressed (no action triggered)
19751213 ms ; Button pressed (no action triggered)
19752430 ms ; Button pressed (no action triggered)
19752949 ms ; Button pressed (no action triggered)
19753151 ms ; Button pressed (no action triggered)
19753338 ms ; Button pressed (no action triggered)
19762327 ms ; Button pressed (no action triggered)
19762583 ms ; Button pressed (no action triggered)
19762766 ms ; Button pressed (no action triggered)
19762923 ms ; Button pressed (no action triggered)
19763082 ms ; Button pressed (no action triggered)
19764267 ms ; Button pressed (no action triggered)
19765153 ms ; Button pressed (no action triggered)
19765507 ms ; Button pressed (no action triggered)
19770760 ms ; Button pressed - Motor activated
19774879 ms ; Motor stopped - Micro switch triggered
19796611 ms ; Button pressed (no action triggered)
19797697 ms ; Button pressed (no action triggered)
19798232 ms ; Button pressed (no action triggered)
19799216 ms ; Button pressed (no action triggered)
19799475 ms ; Button pressed (no action triggered)
19799748 ms ; Button pressed (no action triggered)
19800016 ms ; Button pressed (no action triggered)
19800275 ms ; Button pressed (no action triggered)
19802008 ms ; Button pressed (no action triggered)
19804081 ms ; Button pressed (no action triggered)
19810467 ms ; Button pressed - Motor activated
19814580 ms ; Motor stopped - Micro switch triggered
19879267 ms ; Button pressed - Motor activated
19883344 ms ; Motor stopped - Micro switch triggered
19952165 ms ; Button pressed - Motor activated
19954639 ms ; Button pressed (while motor running)
19956286 ms ; Motor stopped - Micro switch triggered
19959857 ms ; Button pressed (no action triggered)
19960144 ms ; Button pressed (no action triggered)
19962808 ms ; Button pressed (no action triggered)
20846227 ms ; Button pressed - Motor activated
20847865 ms ; Button pressed (while motor running)
20850304 ms ; Motor stopped - Micro switch triggered
20855005 ms ; Button pressed (no action triggered)
20855790 ms ; Button pressed (no action triggered)
20856594 ms ; Button pressed (no action triggered)
20857426 ms ; Button pressed (no action triggered)
20864285 ms ; Button pressed (no action triggered)
20865046 ms ; Button pressed (no action triggered)
20865652 ms ; Button pressed (no action triggered)
20878270 ms ; Button pressed (no action triggered)
20987169 ms ; Button pressed - Motor activated
20991298 ms ; Motor stopped - Micro switch triggered
20993579 ms ; Button pressed (no action triggered)
21005020 ms ; Button pressed (no action triggered)
21014263 ms ; Button pressed (no action triggered)
21774918 ms ; Button pressed - Motor activated
21776689 ms ; Button pressed (while motor running)
21779077 ms ; Motor stopped - Micro switch triggered
21781657 ms ; Button pressed (no action triggered)
21783280 ms ; Button pressed (no action triggered)
22235476 ms ; Button pressed - Motor activated
22239572 ms ; Motor stopped - Micro switch triggered
22837446 ms ; Button pressed - Motor activated
22838532 ms ; Button pressed (while motor running)
22838917 ms ; Button pressed (while motor running)
22839383 ms ; Button pressed (while motor running)
22839729 ms ; Button pressed (while motor running)
22841561 ms ; Motor stopped - Micro switch triggered
22841915 ms ; Button pressed (no action triggered)
22842160 ms ; Button pressed (no action triggered)
22842441 ms ; Button pressed (no action triggered)
22844257 ms ; Button pressed (no action triggered)
22844470 ms ; Button pressed (no action triggered)
22845042 ms ; Button pressed (no action triggered)
22845356 ms ; Button pressed (no action triggered)
22845629 ms ; Button pressed (no action triggered)
22845888 ms ; Button pressed (no action triggered)
22846186 ms ; Button pressed (no action triggered)
22846524 ms ; Button pressed (no action triggered)
22846811 ms ; Button pressed (no action triggered)
22847089 ms ; Button pressed (no action triggered)
22847627 ms ; Button pressed (no action triggered)
22848073 ms ; Button pressed (no action triggered)
22848445 ms ; Button pressed (no action triggered)
22848815 ms ; Button pressed (no action triggered)
22849169 ms ; Button pressed (no action triggered)
22849808 ms ; Button pressed (no action triggered)
22850135 ms ; Button pressed (no action triggered)
22850397 ms ; Button pressed (no action triggered)
22850691 ms ; Button pressed (no action triggered)
22850959 ms ; Button pressed (no action triggered)
22851474 ms ; Button pressed (no action triggered)
22851833 ms ; Button pressed (no action triggered)
22852292 ms ; Button pressed (no action triggered)
22852692 ms ; Button pressed (no action triggered)
22853068 ms ; Button pressed (no action triggered)
22857356 ms ; Button pressed (no action triggered)
22857706 ms ; Button pressed (no action triggered)
22858057 ms ; Button pressed (no action triggered)
22858412 ms ; Button pressed (no action triggered)
22858692 ms ; Button pressed (no action triggered)
22858957 ms ; Button pressed (no action triggered)
22859652 ms ; Button pressed (no action triggered)
22859967 ms ; Button pressed (no action triggered)
22860325 ms ; Button pressed (no action triggered)
22860576 ms ; Button pressed (no action triggered)
22901995 ms ; Button pressed - Motor activated
