258 ms ; Init
4776147 ms ; Button pressed (no action triggered)
4776365 ms ; Button pressed (no action triggered)
4777086 ms ; Button pressed (no action triggered)
4784801 ms ; Button pressed (no action triggered)
4785818 ms ; Button pressed (no action triggered)
4786243 ms ; Button pressed (no action triggered)
4786607 ms ; Button pressed (no action triggered)
4786967 ms ; Button pressed (no action triggered)
4787345 ms ; Button pressed (no action triggered)
4787675 ms ; Button pressed (no action triggered)
4788052 ms ; Button pressed (no action triggered)
4788379 ms ; Button pressed (no action triggered)
4788673 ms ; Button pressed (no action triggered)
4788998 ms ; Button pressed (no action triggered)
4800458 ms ; Button pressed - Motor activated
4801712 ms ; Button pressed (while motor running)
4802014 ms ; Button pressed (while motor running)
4802296 ms ; Button pressed (while motor running)
4802513 ms ; Button pressed (while motor running)
4802739 ms ; Button pressed (while motor running)
4802929 ms ; Button pressed (while motor running)
4803005 ms ; Button pressed (while motor running)
4803230 ms ; Button pressed (while motor running)
4803561 ms ; Button pressed (while motor running)
4804333 ms ; Button pressed (while motor running)
4804481 ms ; Motor stopped - Micro switch triggered
4805171 ms ; Button pressed (no action triggered)
4808100 ms ; Button pressed (no action triggered)
4808842 ms ; Button pressed (no action triggered)
4809042 ms ; Button pressed (no action triggered)
4809315 ms ; Button pressed (no action triggered)
4809530 ms ; Button pressed (no action triggered)
4809699 ms ; Button pressed (no action triggered)
4809928 ms ; Button pressed (no action triggered)
4810084 ms ; Button pressed (no action triggered)
4810284 ms ; Button pressed (no action triggered)
4810477 ms ; Button pressed (no action triggered)
4810974 ms ; Button pressed (no action triggered)
4811132 ms ; Button pressed (no action triggered)
4811765 ms ; Button pressed (no action triggered)
4811957 ms ; Button pressed (no action triggered)
4812473 ms ; Button pressed (no action triggered)
4812711 ms ; Button pressed (no action triggered)
4813604 ms ; Button pressed (no action triggered)
4813842 ms ; Button pressed (no action triggered)
4814102 ms ; Button pressed (no action triggered)
4814473 ms ; Button pressed (no action triggered)
4822124 ms ; Button pressed (no action triggered)
4951820 ms ; Button pressed - Motor activated
4955956 ms ; Motor stopped - Micro switch triggered
4956135 ms ; Button pressed (no action triggered)
4963150 ms ; Button pressed (no action triggered)
4963429 ms ; Button pressed (no action triggered)
4963670 ms ; Button pressed (no action triggered)
4969741 ms ; Button pressed (no action triggered)
4969908 ms ; Button pressed (no action triggered)
4969997 ms ; Button pressed (no action triggered)
4970228 ms ; Button pressed (no action triggered)
4970472 ms ; Button pressed (no action triggered)
4970670 ms ; Button pressed (no action triggered)
4970868 ms ; Button pressed (no action triggered)
4971083 ms ; Button pressed (no action triggered)
4971326 ms ; Button pressed (no action triggered)
4972134 ms ; Button pressed (no action triggered)
4972510 ms ; Button pressed (no action triggered)
4972897 ms ; Button pressed (no action triggered)
4973184 ms ; Button pressed (no action triggered)
4974127 ms ; Button pressed (no action triggered)
5023595 ms ; Button pressed - Motor activated
5027582 ms ; Motor stopped - Micro switch triggered
5028855 ms ; Button pressed (no action triggered)
5029585 ms ; Button pressed (no action triggered)
5029934 ms ; Button pressed (no action triggered)
5033787 ms ; Button pressed (no action triggered)
5034371 ms ; Button pressed (no action triggered)
5034723 ms ; Button pressed (no action triggered)
5034981 ms ; Button pressed (no action triggered)
5265860 ms ; Button pressed - Motor activated
5269945 ms ; Motor stopped - Micro switch triggered
5272496 ms ; Button pressed (no action triggered)
5276603 ms ; Button pressed (no action triggered)
5276998 ms ; Button pressed (no action triggered)
5277359 ms ; Button pressed (no action triggered)
5280322 ms ; Button pressed (no action triggered)
5280573 ms ; Button pressed (no action triggered)
5280800 ms ; Button pressed (no action triggered)
5281017 ms ; Button pressed (no action triggered)
5281243 ms ; Button pressed (no action triggered)
5281445 ms ; Button pressed (no action triggered)
5281646 ms ; Button pressed (no action triggered)
5281875 ms ; Button pressed (no action triggered)
5282085 ms ; Button pressed (no action triggered)
5282266 ms ; Button pressed (no action triggered)
5282481 ms ; Button pressed (no action triggered)
5308655 ms ; Button pressed - Motor activated
5309859 ms ; Button pressed (while motor running)
5310091 ms ; Button pressed (while motor running)
5311377 ms ; Button pressed (while motor running)
5311572 ms ; Button pressed (while motor running)
5311767 ms ; Button pressed (while motor running)
5311951 ms ; Button pressed (while motor running)
5312122 ms ; Button pressed (while motor running)
5312360 ms ; Button pressed (while motor running)
5312683 ms ; Motor stopped - Micro switch triggered
5327251 ms ; Button pressed (no action triggered)
5327502 ms ; Button pressed (no action triggered)
5331287 ms ; Button pressed (no action triggered)
5336334 ms ; Button pressed (no action triggered)
5339564 ms ; Button pressed (no action triggered)
5340167 ms ; Button pressed (no action triggered)
5343990 ms ; Button pressed - Motor activated
5345166 ms ; Button pressed (while motor running)
5348071 ms ; Motor stopped - Micro switch triggered
5351227 ms ; Button pressed (no action triggered)
5351827 ms ; Button pressed (no action triggered)
5352418 ms ; Button pressed (no action triggered)
5355721 ms ; Button pressed (no action triggered)
5356295 ms ; Button pressed (no action triggered)
5356769 ms ; Button pressed (no action triggered)
5357405 ms ; Button pressed (no action triggered)
5357622 ms ; Button pressed (no action triggered)
5358109 ms ; Button pressed (no action triggered)
5358849 ms ; Button pressed (no action triggered)
5361998 ms ; Button pressed (no action triggered)
5365148 ms ; Button pressed (no action triggered)
5402186 ms ; Button pressed - Motor activated
5404771 ms ; Button pressed (while motor running)
5405084 ms ; Button pressed (while motor running)
5405820 ms ; Button pressed (while motor running)
5406206 ms ; Motor stopped - Micro switch triggered
5406851 ms ; Button pressed (no action triggered)
5409779 ms ; Button pressed (no action triggered)
5410816 ms ; Button pressed (no action triggered)
5411069 ms ; Button pressed (no action triggered)
5417060 ms ; Button pressed (no action triggered)
5417318 ms ; Button pressed (no action triggered)
5417859 ms ; Button pressed (no action triggered)
5418029 ms ; Button pressed (no action triggered)
5418217 ms ; Button pressed (no action triggered)
5418557 ms ; Button pressed (no action triggered)
5469852 ms ; Button pressed - Motor activated
5473928 ms ; Motor stopped - Micro switch triggered
5474293 ms ; Button pressed (no action triggered)
5477173 ms ; Button pressed (no action triggered)
5481406 ms ; Button pressed (no action triggered)
5485428 ms ; Button pressed (no action triggered)
5487694 ms ; Button pressed (no action triggered)
5490163 ms ; Button pressed (no action triggered)
5533246 ms ; Button pressed - Motor activated
5534622 ms ; Button pressed (while motor running)
5535876 ms ; Button pressed (while motor running)
5536384 ms ; Button pressed (while motor running)
5537254 ms ; Motor stopped - Micro switch triggered
5537490 ms ; Button pressed (no action triggered)
5538776 ms ; Button pressed (no action triggered)
5540344 ms ; Button pressed (no action triggered)
5545662 ms ; Button pressed (no action triggered)
5546053 ms ; Button pressed (no action triggered)
5546981 ms ; Button pressed (no action triggered)
5635516 ms ; Button pressed - Motor activated
5639563 ms ; Motor stopped - Micro switch triggered
5641922 ms ; Button pressed (no action triggered)
5644127 ms ; Button pressed (no action triggered)
5647499 ms ; Button pressed (no action triggered)
5651262 ms ; Button pressed (no action triggered)
5679943 ms ; Button pressed - Motor activated
5682104 ms ; Button pressed (while motor running)
5683979 ms ; Motor stopped - Micro switch triggered
5689550 ms ; Button pressed (no action triggered)
5690923 ms ; Button pressed (no action triggered)
5691831 ms ; Button pressed (no action triggered)
5699624 ms ; Button pressed (no action triggered)
5701838 ms ; Button pressed (no action triggered)
5743008 ms ; Button pressed - Motor activated
5747034 ms ; Motor stopped - Micro switch triggered
5819654 ms ; Button pressed - Motor activated
5823742 ms ; Motor stopped - Micro switch triggered
5830495 ms ; Button pressed (no action triggered)
5833213 ms ; Button pressed (no action triggered)
5843198 ms ; Button pressed (no action triggered)
5854016 ms ; Button pressed - Motor activated
5858018 ms ; Motor stopped - Micro switch triggered
5862505 ms ; Button pressed (no action triggered)
5864723 ms ; Button pressed (no action triggered)
5867293 ms ; Button pressed (no action triggered)
5871575 ms ; Button pressed (no action triggered)
5877066 ms ; Button pressed (no action triggered)
6046234 ms ; Button pressed - Motor activated
6050294 ms ; Motor stopped - Micro switch triggered
6058555 ms ; Button pressed (no action triggered)
6063269 ms ; Button pressed (no action triggered)
6064665 ms ; Button pressed (no action triggered)
6236829 ms ; Button pressed - Motor activated
6239040 ms ; Button pressed (while motor running)
6239748 ms ; Button pressed (while motor running)
6240855 ms ; Motor stopped - Micro switch triggered
6240989 ms ; Button pressed (no action triggered)
