408 ms ; init
54859421 ms ; SW3 ;has been pressed
54859620 ms ; SW3 ;has been pressed
54859810 ms ; SW3 ;has been pressed
54860026 ms ; SW3 ;has been pressed
54860314 ms ; SW3 ;has been pressed
54860549 ms ; SW3 ;has been pressed
54861604 ms ; SW2 ;has been pressed
54861765 ms ; SW3 ;has been pressed
54861953 ms ; SW1 ;has been pressed
54862203 ms ; SW3 ;has been pressed
54862322 ms ; SW4 ;has been pressed
54862473 ms ; SW3 ;has been pressed
54862592 ms ; SW4 ;has been pressed
54862775 ms ; SW4 ;has been pressed
54862899 ms ; SW3 ;has been pressed
54863017 ms ; SW4 ;has been pressed
54863168 ms ; SW3 ;has been pressed
54863287 ms ; SW4 ;has been pressed
54863415 ms ; SW3 ;has been pressed
54863545 ms ; SW4 ;has been pressed
54863664 ms ; SW1 ;has been pressed
54863815 ms ; SW4 ;has been pressed
54863934 ms ; SW3 ;has been pressed
54864064 ms ; SW4 ;has been pressed
54864318 ms ; SW4 ;has been pressed
54864458 ms ; SW2 ;has been pressed
54864577 ms ; SW3 ;has been pressed
54864800 ms ; SW3 ;has been pressed
