417 ms ; init
398 ms ; init
4883531 ms ; SW4 ;has been pressed
4883832 ms ; SW4 ;has been pressed
4883977 ms ; SW4 ;has been pressed
4885027 ms ; SW4 ;has been pressed
4885146 ms ; SW4 ;has been pressed
4885874 ms ; SW3 ;has been pressed
4886395 ms ; SW2 ;has been pressed
4886517 ms ; SW2 ;has been pressed
4887251 ms ; SW2 ;has been pressed
4887520 ms ; SW1 ;has been pressed
4887956 ms ; SW1 ;has been pressed
4970713 ms ; SW2 ;has been pressed
4970731 ms ; SW1 ;has been pressed
4970886 ms ; SW2 ;has been pressed
4971038 ms ; SW1 ;has been pressed
4971467 ms ; SW1 ;has been pressed
4971638 ms ; SW4 ;has been pressed
4971759 ms ; SW2 ;has been pressed
4971936 ms ; SW4 ;has been pressed
4972075 ms ; SW1 ;has been pressed
4972400 ms ; SW1 ;has been pressed
4972650 ms ; SW4 ;has been pressed
4972769 ms ; SW2 ;has been pressed
5063147 ms ; SW2 ;has been pressed
5063306 ms ; SW2 ;has been pressed
5063325 ms ; SW3 ;has been pressed and the led UV has activate
5063444 ms ; SW1 ;has been pressed
5063463 ms ; SW4 ;has been pressed
5064081 ms ; SW4 ;has been pressed
5064099 ms ; SW1 ;has been pressed
5064119 ms ; SW2 ;has been pressed
5064137 ms ; SW3 ;has been pressed
5064473 ms ; SW3 ;has been pressed
5064713 ms ; SW3 ;has been pressed
5064732 ms ; SW4 ;has been pressed
5064751 ms ; SW1 ;has been pressed
5064769 ms ; SW2 ;has been pressed
5065037 ms ; SW1 ;has been pressed
5065342 ms ; SW1 ;has been pressed
5065361 ms ; SW2 ;has been pressed
5065722 ms ; SW3 ;has been pressed
5065897 ms ; SW2 ;has been pressed
5066025 ms ; SW2 ;has been pressed
5066147 ms ; SW3 ;has been pressed
5066167 ms ; SW4 ;has been pressed
5066199 ms ; SW1 ;has been pressed
5067397 ms ; SW2 ;has been pressed
5067415 ms ; SW3 ;has been pressed
5067433 ms ; SW4 ;has been pressed
5068027 ms ; SW3 ;has been pressed
5068047 ms ; SW4 ;has been pressed
5068393 ms ; SW1 ;has been pressed
5068417 ms ; SW4 ;has been pressed
5068535 ms ; SW4 ;has been pressed
5068975 ms ; SW2 ;has been pressed
5069093 ms ; SW2 ;has been pressed
5069214 ms ; SW2 ;has been pressed
5069237 ms ; SW4 ;has been pressed
5069307 ms ; SW1 ;has been pressed
5069326 ms ; SW3 ;has been pressed
5630073 ms ; SW3 ;has been pressed
5634333 ms ; SW2 ;has been pressed
5634407 ms ; SW1 ;has been pressed
5638376 ms ; SW4 ;has been pressed and the led UV has activate
5638496 ms ; SW3 ;has been pressed
5638619 ms ; SW2 ;has been pressed
5639561 ms ; SW3 ;has been pressed
5640132 ms ; SW3 ;has been pressed
5640877 ms ; SW4 ;has been pressed
5641504 ms ; SW3 ;has been pressed
5641908 ms ; SW3 ;has been pressed
5642361 ms ; SW2 ;has been pressed
5642481 ms ; SW2 ;has been pressed
