415 ms ; init
23114112 ms ; SW1 ;has been pressed
23120562 ms ; SW2 ;has been pressed
23120820 ms ; SW2 ;has been pressed
23121049 ms ; SW2 ;has been pressed
23121471 ms ; SW1 ;has been pressed
23121693 ms ; SW1 ;has been pressed
23122762 ms ; SW3 ;has been pressed
23123238 ms ; SW4 ;has been pressed
25054573 ms ; SW1 ;has been pressed
25056890 ms ; SW2 ;has been pressed and the led UV has activate
25060764 ms ; SW2 ;has been pressed
25065867 ms ; SW1 ;has been pressed
25065940 ms ; SW2 ;has been pressed
25066061 ms ; SW2 ;has been pressed
25066525 ms ; SW3 ;has been pressed
25068660 ms ; SW4 ;has been pressed
25070401 ms ; SW3 ;has been pressed
25072338 ms ; SW1 ;has been pressed
25072681 ms ; SW2 ;has been pressed
25073098 ms ; SW2 ;has been pressed
25073728 ms ; SW2 ;has been pressed
25080518 ms ; SW2 ;has been pressed
25080716 ms ; SW2 ;has been pressed
25081040 ms ; SW2 ;has been pressed
25081159 ms ; SW2 ;has been pressed
25082314 ms ; SW2 ;has been pressed
25082512 ms ; SW2 ;has been pressed
25082707 ms ; SW2 ;has been pressed
25086955 ms ; SW2 ;has been pressed
25087201 ms ; SW2 ;has been pressed
25087387 ms ; SW2 ;has been pressed
25087605 ms ; SW2 ;has been pressed
25087788 ms ; SW2 ;has been pressed
25087939 ms ; SW2 ;has been pressed
25900119 ms ; SW4 ;has been pressed
25901123 ms ; SW3 ;has been pressed and the led UV has activate
25902171 ms ; SW2 ;has been pressed
25902427 ms ; SW2 ;has been pressed
25902838 ms ; SW2 ;has been pressed
25902959 ms ; SW2 ;has been pressed
25903461 ms ; SW2 ;has been pressed
25904096 ms ; SW3 ;has been pressed
25904160 ms ; SW2 ;has been pressed
25905836 ms ; SW1 ;has been pressed
25907234 ms ; SW2 ;has been pressed
25908273 ms ; SW3 ;has been pressed
25909248 ms ; SW4 ;has been pressed
25914442 ms ; SW2 ;has been pressed
25914727 ms ; SW2 ;has been pressed
25916158 ms ; SW1 ;has been pressed
25917433 ms ; SW3 ;has been pressed
26375752 ms ; SW2 ;has been pressed
26377743 ms ; SW1 ;has been pressed
26378237 ms ; SW1 ;has been pressed
26380810 ms ; SW4 ;has been pressed and the led UV has activate
26381948 ms ; SW4 ;has been pressed
26388373 ms ; SW4 ;has been pressed
26390002 ms ; SW4 ;has been pressed
26391838 ms ; SW4 ;has been pressed
26397009 ms ; SW4 ;has been pressed
26402973 ms ; SW2 ;has been pressed
26402992 ms ; SW1 ;has been pressed
26403380 ms ; SW2 ;has been pressed
26403398 ms ; SW1 ;has been pressed
26403688 ms ; SW2 ;has been pressed
26403706 ms ; SW1 ;has been pressed
26403996 ms ; SW2 ;has been pressed
26404015 ms ; SW1 ;has been pressed
26404312 ms ; SW2 ;has been pressed
26404331 ms ; SW1 ;has been pressed
26404539 ms ; SW1 ;has been pressed
26404831 ms ; SW1 ;has been pressed
26405062 ms ; SW2 ;has been pressed
26405081 ms ; SW1 ;has been pressed
26405288 ms ; SW1 ;has been pressed
26407248 ms ; SW4 ;has been pressed
26407267 ms ; SW3 ;has been pressed
26427732 ms ; SW4 ;has been pressed
26498378 ms ; SW1 ;has been pressed and the led UV has activate
26498745 ms ; SW2 ;has been pressed
26499009 ms ; SW2 ;has been pressed
26499222 ms ; SW2 ;has been pressed
26500217 ms ; SW2 ;has been pressed
26513215 ms ; SW2 ;has been pressed
26513233 ms ; SW3 ;has been pressed
26513738 ms ; SW2 ;has been pressed
26514115 ms ; SW2 ;has been pressed
26514337 ms ; SW2 ;has been pressed
26515801 ms ; SW2 ;has been pressed
26516018 ms ; SW2 ;has been pressed
26516142 ms ; SW2 ;has been pressed
26516303 ms ; SW2 ;has been pressed
26563453 ms ; SW2 ;has been pressed
26563702 ms ; SW2 ;has been pressed
26563765 ms ; SW1 ;has been pressed
26566094 ms ; SW3 ;has been pressed
26566343 ms ; SW1 ;has been pressed
26566861 ms ; SW2 ;has been pressed
26566880 ms ; SW3 ;has been pressed
26567359 ms ; SW4 ;has been pressed
26567718 ms ; SW4 ;has been pressed
26567737 ms ; SW1 ;has been pressed
26568116 ms ; SW2 ;has been pressed
32062241 ms ; SW2 ;has been pressed and the led UV has activate
32065568 ms ; SW3 ;has been pressed
32066680 ms ; SW4 ;has been pressed
32067212 ms ; SW1 ;has been pressed
32068371 ms ; SW2 ;has been pressed
32069187 ms ; SW3 ;has been pressed
33902434 ms ; SW3 ;has been pressed and the led UV has activate
33905243 ms ; SW4 ;has been pressed
33907321 ms ; SW2 ;has been pressed
33908797 ms ; SW1 ;has been pressed
35806792 ms ; SW4 ;has been pressed and the led UV has activate
36000446 ms ; 5 hours have passed
36090293 ms ; SW1 ;has been pressed and the led UV has activate
36091295 ms ; SW2 ;has been pressed
36092016 ms ; SW3 ;has been pressed
36093888 ms ; SW4 ;has been pressed
36094011 ms ; SW4 ;has been pressed
36118161 ms ; SW1 ;has been pressed
36119229 ms ; SW1 ;has been pressed
36120461 ms ; SW2 ;has been pressed
36122330 ms ; SW3 ;has been pressed
36122409 ms ; SW2 ;has been pressed
36122638 ms ; SW2 ;has been pressed
36123628 ms ; SW4 ;has been pressed
36128541 ms ; SW4 ;has been pressed
