414 ms ; init
249 ms ; init
66181267 ms ; SW1 ;has been pressed
66181897 ms ; SW2 ;has been pressed
66184202 ms ; SW1 ;has been pressed
66185181 ms ; SW4 ;has been pressed
66185425 ms ; SW4 ;has been pressed
66185951 ms ; SW3 ;has been pressed
66200210 ms ; SW1 ;has been pressed
66200541 ms ; SW4 ;has been pressed
66200559 ms ; SW1 ;has been pressed
66200783 ms ; SW4 ;has been pressed
66200802 ms ; SW1 ;has been pressed
66200936 ms ; SW1 ;has been pressed
66201416 ms ; SW2 ;has been pressed and the led UV has activate
66201536 ms ; SW3 ;has been pressed
66201755 ms ; SW3 ;has been pressed
66201778 ms ; SW2 ;has been pressed
66201997 ms ; SW2 ;has been pressed
66202015 ms ; SW3 ;has been pressed
66202270 ms ; SW3 ;has been pressed
66202389 ms ; SW3 ;has been pressed
66202407 ms ; SW2 ;has been pressed
66202628 ms ; SW3 ;has been pressed
66202647 ms ; SW2 ;has been pressed
66202894 ms ; SW2 ;has been pressed
66202912 ms ; SW3 ;has been pressed
66203565 ms ; SW4 ;has been pressed
66203583 ms ; SW1 ;has been pressed
66203840 ms ; SW3 ;has been pressed
66203858 ms ; SW2 ;has been pressed
66204094 ms ; SW3 ;has been pressed
66204112 ms ; SW2 ;has been pressed
66204252 ms ; SW2 ;has been pressed
66204495 ms ; SW2 ;has been pressed
66204731 ms ; SW2 ;has been pressed
66205304 ms ; SW2 ;has been pressed
66205471 ms ; SW3 ;has been pressed
66213447 ms ; SW4 ;has been pressed
66213650 ms ; SW4 ;has been pressed
66213990 ms ; SW1 ;has been pressed
66214012 ms ; SW4 ;has been pressed
66214131 ms ; SW4 ;has been pressed
66214461 ms ; SW2 ;has been pressed
66226703 ms ; SW1 ;has been pressed
66227280 ms ; SW2 ;has been pressed
66227410 ms ; SW4 ;has been pressed
66227429 ms ; SW3 ;has been pressed
66228287 ms ; SW3 ;has been pressed
66228712 ms ; SW3 ;has been pressed
66228959 ms ; SW3 ;has been pressed
66228978 ms ; SW2 ;has been pressed
66229196 ms ; SW3 ;has been pressed
66229315 ms ; SW4 ;has been pressed
66229335 ms ; SW2 ;has been pressed
66229681 ms ; SW4 ;has been pressed
66229799 ms ; SW2 ;has been pressed
66229862 ms ; SW3 ;has been pressed
66230049 ms ; SW1 ;has been pressed
66248695 ms ; SW4 ;has been pressed
66248714 ms ; SW1 ;has been pressed
66249030 ms ; SW3 ;has been pressed
66249049 ms ; SW2 ;has been pressed
66249251 ms ; SW4 ;has been pressed
66249541 ms ; SW3 ;has been pressed
66250567 ms ; SW3 ;has been pressed
66250587 ms ; SW1 ;has been pressed
66250605 ms ; SW2 ;has been pressed
66296252 ms ; SW1 ;has been pressed
66296698 ms ; SW1 ;has been pressed
66297511 ms ; SW4 ;has been pressed
66297647 ms ; SW4 ;has been pressed
66297670 ms ; SW2 ;has been pressed
66297792 ms ; SW4 ;has been pressed
66298354 ms ; SW3 ;has been pressed and the led UV has activate
66298474 ms ; SW4 ;has been pressed
66299028 ms ; SW3 ;has been pressed
66299295 ms ; SW3 ;has been pressed
66299600 ms ; SW3 ;has been pressed
66299952 ms ; SW2 ;has been pressed
66303347 ms ; SW1 ;has been pressed
66303367 ms ; SW2 ;has been pressed
66303693 ms ; SW3 ;has been pressed
66304180 ms ; SW4 ;has been pressed
66304299 ms ; SW4 ;has been pressed
66304763 ms ; SW3 ;has been pressed
66305304 ms ; SW4 ;has been pressed
66305438 ms ; SW4 ;has been pressed
66305656 ms ; SW1 ;has been pressed
66305676 ms ; SW2 ;has been pressed
66305747 ms ; SW4 ;has been pressed
66362267 ms ; SW3 ;has been pressed
66362558 ms ; SW4 ;has been pressed
66362686 ms ; SW4 ;has been pressed
66362805 ms ; SW4 ;has been pressed
66363102 ms ; SW3 ;has been pressed
66364135 ms ; SW3 ;has been pressed
66364351 ms ; SW2 ;has been pressed
66364591 ms ; SW2 ;has been pressed
66364779 ms ; SW2 ;has been pressed
66365208 ms ; SW2 ;has been pressed
66366302 ms ; SW3 ;has been pressed
66401021 ms ; SW4 ;has been pressed and the led UV has activate
66401141 ms ; SW3 ;has been pressed
66402000 ms ; SW2 ;has been pressed
66402028 ms ; SW4 ;has been pressed
