13 ms ; init
6588390 ms ; Button pressed (no action triggered)
6588668 ms ; Button pressed (no action triggered)
6588928 ms ; Button pressed (no action triggered)
6589239 ms ; Button pressed (no action triggered)
6589537 ms ; Button pressed (no action triggered)
6589875 ms ; Button pressed (no action triggered)
6644738 ms ; Button pressed - Motor activated
6645831 ms ; Button pressed (while motor running)
6646401 ms ; Button pressed (while motor running)
6646681 ms ; Button pressed (while motor running)
6646941 ms ; Button pressed (while motor running)
6647216 ms ; Button pressed (while motor running)
6647589 ms ; Button pressed (while motor running)
6648795 ms ; Motor stopped - Micro switch triggered
6649139 ms ; Button pressed (no action triggered)
6649951 ms ; Button pressed (no action triggered)
6650391 ms ; Button pressed (no action triggered)
6654840 ms ; Button pressed (no action triggered)
6655663 ms ; Button pressed (no action triggered)
6655975 ms ; Button pressed (no action triggered)
6656201 ms ; Button pressed (no action triggered)
6656350 ms ; Button pressed (no action triggered)
6657142 ms ; Button pressed (no action triggered)
6658073 ms ; Button pressed (no action triggered)
6658415 ms ; Button pressed (no action triggered)
6658692 ms ; Button pressed (no action triggered)
6658967 ms ; Button pressed (no action triggered)
6659576 ms ; Button pressed (no action triggered)
6659834 ms ; Button pressed (no action triggered)
6663650 ms ; Button pressed (no action triggered)
6665433 ms ; Button pressed (no action triggered)
6678782 ms ; Button pressed (no action triggered)
6692229 ms ; Button pressed - Motor activated
6694809 ms ; Button pressed (while motor running)
6696289 ms ; Motor stopped - Micro switch triggered
6700689 ms ; Button pressed (no action triggered)
6709076 ms ; Button pressed (no action triggered)
6710273 ms ; Button pressed (no action triggered)
6711334 ms ; Button pressed (no action triggered)
6712972 ms ; Button pressed (no action triggered)
6715229 ms ; Button pressed (no action triggered)
6716829 ms ; Button pressed (no action triggered)
6751037 ms ; Button pressed - Motor activated
